"child.iq","mother.highschool","mother.iq","mother.work","mother.age"
99,1,131.84,4,27
94,1,101.82,1,23
89,1,93.5,4,20
119,1,104.03,4,26
112,1,103.71,4,23
104,0,107.37,2,20
92,1,92.55,2,19
86,1,94.44,2,19
69,1,93.14,4,25
45,1,83.41,4,22
57,1,71.04,2,28
94,1,127.67,1,23
104,1,115.69,4,23
89,0,90.98,1,20
144,1,132.87,3,25
52,1,72.5,1,26
102,1,100.71,4,25
106,1,132.69,3,24
98,1,98.55,2,22
97,1,115.67,3,24
94,1,117.06,3,28
111,1,136.49,3,23
100,1,106.55,2,26
105,1,134.13,2,25
90,1,104.66,4,26
98,1,99.38,2,21
121,1,100.44,1,22
106,1,89.53,4,26
121,1,120.92,4,19
102,1,113.14,4,24
64,1,126.41,1,29
99,1,122.74,4,28
81,1,115.38,4,26
69,1,91.61,2,20
84,1,88.66,2,21
104,1,107.18,3,26
104,1,104.97,4,23
107,1,103.86,4,25
88,1,110.1,4,21
67,0,88.45,1,20
103,0,117.03,1,21
94,1,125.66,4,22
109,1,122.6,4,24
94,1,121.05,3,26
98,1,93.14,3,25
102,1,99.38,3,21
104,1,123.89,4,29
114,0,113.04,2,20
87,1,115.77,3,21
102,1,114.94,4,22
77,1,93.62,4,23
109,1,121.75,1,27
94,1,90.35,4,22
93,0,83.41,2,20
86,1,99.49,4,19
97,1,113.91,4,28
97,1,97.6,4,19
88,1,89.82,4,24
103,1,119.58,4,28
87,0,97.38,2,24
87,1,84.88,4,21
90,1,102.33,4,22
65,1,99.27,4,24
111,0,99.08,4,18
109,1,96.93,3,25
87,1,108.31,2,19
58,1,100.53,4,24
87,1,99.49,4,19
113,1,113.99,3,19
64,0,92.77,4,18
78,0,88.03,4,21
97,0,106.11,4,22
95,0,103.23,3,25
75,1,99.3,4,23
91,0,106.74,3,22
99,1,99.17,2,20
108,1,102.45,1,23
95,1,92.87,4,20
100,1,116.83,4,20
85,1,85.42,1,23
97,0,115.57,2,20
108,1,113.17,4,29
90,1,106.86,1,23
100,1,95.83,3,26
82,0,77.11,1,22
94,1,89.29,2,21
95,1,112.41,4,20
119,1,110.64,1,23
98,1,109.54,1,25
100,0,107.9,1,18
112,1,104.97,2,23
136,0,107.68,2,19
122,1,109.47,2,21
126,1,133.53,1,19
116,1,128.81,2,22
98,1,101.27,4,21
94,1,87.32,4,23
93,1,118.09,4,22
90,1,120.26,2,25
70,1,90.35,4,20
110,1,79.9,4,25
104,1,136.58,4,21
83,1,102.43,2,24
99,1,132.69,4,24
81,1,96.3,3,25
104,1,118.21,4,23
109,1,118.09,4,22
113,1,101.5,2,26
95,0,94.33,2,21
74,1,84.67,1,20
81,1,86.77,2,21
89,1,129.25,4,26
93,1,127.78,4,28
102,1,106.86,2,23
95,1,105.75,1,25
85,1,117.03,4,21
97,1,119.35,2,22
92,1,102.77,1,26
78,0,108.21,3,21
104,1,126.41,4,29
120,1,101.9,2,21
83,0,99.16,2,17
105,1,91.81,1,21
68,1,84.14,4,24
104,1,84.35,4,19
80,1,79.12,2,23
120,1,91.42,4,26
94,1,90.45,2,24
81,1,79,4,22
101,1,109.26,4,22
61,1,76.75,4,25
68,1,97.6,4,19
110,1,128.81,4,22
89,0,113.66,1,17
98,0,114.21,2,18
113,1,112.51,4,24
50,0,75.34,1,23
57,0,81.52,2,22
86,1,102.64,4,19
83,1,101.19,1,23
106,1,112.22,4,26
106,0,123.41,3,25
104,1,86.57,3,22
78,1,100.12,2,19
99,1,102.33,3,22
91,1,87.95,1,23
40,0,80.26,1,20
42,0,80.26,1,20
69,1,91.08,4,24
84,1,85.58,4,25
58,1,113.17,4,23
42,1,112.06,2,25
72,1,101.27,3,21
80,0,81.83,1,19
58,0,81.09,3,21
52,1,81.33,4,26
101,1,120.61,3,20
63,1,102.45,4,23
73,1,90.98,2,20
68,1,103.71,4,23
60,1,102.33,4,22
69,1,121.87,4,20
73,0,88.66,1,21
75,0,90.03,1,19
20,0,83.53,2,23
56,1,91.92,2,19
49,1,87.19,1,20
71,0,80.46,4,21
46,0,84.32,1,25
54,0,77.74,3,22
54,0,82.27,1,23
44,1,77.38,4,25
74,1,89.72,3,20
58,0,79.9,2,25
46,1,82.15,4,22
76,0,80.26,2,22
43,0,77.38,4,25
60,0,82.78,4,22
58,1,89.21,4,23
89,1,89.09,4,22
43,0,88.99,2,18
94,1,118.92,1,21
88,1,83.85,4,26
79,1,84.04,4,22
87,1,105.05,4,21
46,1,108,4,20
95,1,97.38,4,24
92,1,103.79,4,21
42,0,97.6,4,19
62,1,88.66,2,21
52,1,107.25,2,27
101,1,89.84,2,23
97,1,108.91,4,25
85,1,100.64,3,21
98,1,118.84,1,23
94,1,95.51,2,23
90,1,84.77,2,24
72,1,100.75,1,19
92,1,87,1,26
75,0,77.86,4,23
83,1,85.3,4,20
64,1,92.77,1,18
101,1,74.86,4,25
82,1,115.25,4,19
77,1,107.37,4,22
101,1,102.2,4,27
50,1,97.91,4,20
90,1,96.86,4,21
103,1,111.47,2,19
96,1,109.47,3,21
50,1,82.25,4,24
47,1,92.77,4,18
73,1,115.57,2,22
62,0,84.04,4,22
77,1,116.2,4,22
64,1,99.3,4,23
52,1,87.19,2,20
61,1,76.71,4,28
86,1,80.7,2,26
41,0,82.46,1,19
83,1,85.18,4,27
64,1,93.07,4,21
83,1,88.58,4,23
116,1,103.06,4,24
100,0,86.88,3,19
42,0,97.92,4,22
74,1,120.92,4,19
76,1,91.73,4,23
92,1,87.51,4,19
98,1,90.45,4,24
96,1,84.16,3,23
67,1,96.65,4,22
84,1,95.7,2,19
111,1,88.77,4,19
41,0,92.14,1,18
68,1,108,3,22
107,1,80.39,3,29
82,0,99.8,4,20
89,1,90.03,4,19
83,1,93.94,4,26
73,1,103.71,4,23
74,1,77.11,4,22
94,1,117.56,2,24
58,1,79.83,2,21
76,1,83.62,2,21
61,1,88.73,4,25
38,1,82.78,4,22
100,1,86.88,4,19
84,1,88.73,4,25
99,1,92.24,4,22
86,1,90.55,1,21
94,1,84.14,4,24
90,1,93.07,2,21
50,0,85.83,2,18
112,1,98.86,4,19
58,1,95.51,2,23
87,1,101.07,2,22
76,1,85.93,1,20
68,1,82.78,2,22
110,1,98.66,2,23
88,0,82.15,3,20
87,0,85.62,1,19
54,0,79.44,1,26
49,0,75.34,1,23
56,1,80.89,2,22
79,1,115.77,3,21
82,1,97.16,4,27
80,0,80.89,1,22
60,1,79.51,4,27
102,1,98.01,4,24
87,1,108.87,4,28
42,0,80.7,4,26
119,1,100.75,4,19
84,1,91.1,4,23
86,1,82.99,1,21
113,1,89.72,4,20
72,1,131.01,4,19
104,1,124.51,4,23
94,1,91.61,4,22
78,0,92.99,1,23
80,0,91.88,1,25
67,0,88.69,1,28
104,1,126.09,3,26
96,0,84.99,3,19
65,0,82.99,1,21
64,1,101.8,3,24
95,1,100.24,2,26
56,1,110.01,4,23
75,0,88.58,2,23
91,1,106.74,3,22
106,1,95.29,2,18
76,1,108.31,1,19
90,1,110.33,3,26
108,1,116.83,4,22
86,0,86.69,1,23
85,1,96.86,2,21
104,0,90.25,1,18
87,1,89.29,4,21
41,0,74.23,1,25
106,0,91.88,4,25
76,0,96.46,3,26
100,0,97.4,4,23
89,1,131.53,4,21
42,1,78.24,2,27
102,1,127.68,4,29
104,1,124.51,4,23
59,0,80.46,4,21
93,0,74.86,2,25
94,0,84.88,4,21
76,1,92.99,4,23
50,0,94.86,2,24
88,1,96.86,2,21
70,1,91.25,2,25
